"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2019,1,109,"닐로 (Nilo)","넋두리","넋두리","넋두리","",3,0,0
2019,1,110,"Wanna One (워너원)","1÷χ=1 (UNDIVIDED)","켜줘 (Light)","켜줘","",2,0,1
2019,1,111,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","24/7","","",0,0,0
2019,1,112,"에이핑크 (Apink)","ONE & SIX","1도 없어","도 없어","",4,0,0
2019,1,113,"모모랜드 (MOMOLAND)","GREAT!","뿜뿜","뿜뿜","",2,0,0
2019,1,115,"TWICE","What is Love?","What is Love?","","What is Love",0,12,1
2019,1,116,"하진 (HAJIN)","SKY 캐슬 OST Part.4","We all lie","","We all lie",0,10,1
2019,1,117,"마미손","소년점프","소년점프","소년점프","",4,0,0
2019,1,118,"홍진영","사랑은 다 이러니","사랑은 다 이러니","사랑은 다 이러니","",9,0,0
2019,1,119,"(여자)아이들, Madison Beer, Jaira Burns","POP/STARS","POP/STARS","","POP STARS",0,9,1
2019,1,120,"마마무 (Mamamoo)","Yellow Flower","별이 빛나는 밤","별이 빛나는 밤","",8,0,0
2019,1,121,"Coogie, 수퍼비 (SUPERBEE), D.Ark","쇼미더머니 777 Episode 1","사임사임","사임사임","",4,0,0
2019,1,122,"어반 자카파 (Urban Zakapa)","-5","이 밤이 특별해진 건","이 밤이 특별해진 건","",11,0,0
2019,1,123,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","불꽃놀이 (Flowerbomb)","불꽃놀이","",4,0,1
2019,1,125,"황인욱","취하고 싶다","취하고 싶다","취하고 싶다","",6,0,0
2019,1,127,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","Sign","","Sign",0,4,1
2019,1,128,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","여기 있을게 (Smile On My Face)","여기 있을게","",6,0,1
2019,1,130,"(여자)아이들","한(一)","한(一)","한","",1,0,0
2019,1,131,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","술래","술래","",2,0,0
2019,1,132,"에일리(Ailee)","알함브라 궁전의 추억 OST Part 3","Is You","","Is You",0,6,1
2019,1,133,"지코 (ZICO)","SoulMate","SoulMate","","SoulMate",0,8,1
2019,1,134,"여자친구 (GFRIEND)","여자친구 The 6th Mini Album `Time for the moon night`","밤 (Time for the moon night)","밤","",1,0,1
2019,1,136,"BTS","LOVE YOURSELF 結 `Answer`","Epiphany","","Epiphany",0,8,1
2019,1,138,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","집","집","",1,0,0
2019,1,140,"멜로망스(Melomance)","미스터 션샤인 OST Part 5","좋은 날","좋은 날","",4,0,0
