year,time,rank,song_title,artist,album
2020,1,25,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
2020,1,26,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯
2020,1,27,Show Yourself,XXXXX,XXXXX
2020,1,28,있어줘요,장덕철,있어줘요
2020,1,29,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
2020,1,30,시간의 바깥,아이유 (IU),Love poem
2020,1,31,첫 겨울이니까,"성시경, 아이유 (IU)",첫 겨울이니까
2020,1,32,포장마차,황인욱,포장마차
2020,1,33,니 소식,송하예,니 소식
2020,1,34,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
2020,1,35,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
2020,1,36,다시 만날까 봐,V.O.S,다시 만날까 봐
2020,1,37,bad guy,XXXXX,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
2020,1,38,Obsession,EXO,OBSESSION - The 6th Album
2020,1,39,이별주,황인욱,이별주
2020,1,40,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
2020,1,41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
2020,1,42,BAND,"창모, Hash Swan, ASH ISLAND, 김효은",BAND
2020,1,43,너를 만나,폴킴,너를 만나
2020,1,44,워커홀릭,볼빨간사춘기 (BOL4),Two Five
2020,1,45,Santa Tell Me,XXXXX,Santa Tell Me
2020,1,46,Senorita,XXXXX,Senorita
2020,1,47,노을,다비치,사랑의 불시착 OST Part 3
2020,1,48,숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),태연 (TAEYEON),겨울왕국 2 (한국어 버전)
2020,1,49,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3
2020,1,50,술이 문제야,"장혜진, 윤민수",술이 문제야
2020,1,51,Snowman,XXXXX,Snowman
2020,1,52,Feel Special,TWICE,Feel Special
2020,1,53,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love)
2020,1,54,Flower,윤미래 (T),사랑의 불시착 OST Part 2
2020,1,55,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
2020,1,56,Paris In The Rain,XXXXX,I met you when I was 18. (the playlist)
2020,1,57,가을밤 떠난 너,케이시 (Kassy),Rewind
2020,1,58,unlucky,아이유 (IU),Love poem
2020,1,59,LION,(여자)아이들,퀸덤 [FINAL 컴백 싱글]
2020,1,60,허전해,폴킴,"정규 2집 `마음, 하나`"
2020,1,61,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
2020,1,62,Speechless (Full),XXXXX,XXXXX
2020,1,63,중2병,"염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic)",Dingo X DAMOIM (Part 3)
2020,1,64,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은
2020,1,65,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (Maktub),Red Moon : Happiness
2020,1,66,날 보러 와요 (Come See Me),AOA,NEW MOON
2020,1,67,잘 살고 있다,V.O.S,잘 살고 있다
2020,1,68,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기
2020,1,69,주저하는 연인들을 위해,잔나비,전설
2020,1,70,헤어지자 (Prod. 정키),휘인 (Whee In),soar
2020,1,71,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따 (YumDDa),Amanda
2020,1,72,나의 어깨에 기대어요,10cm,호텔 델루나 OST Part.2
